26	22	25	14	01	02
02	10	27	20	08	18
21	22	31	07	26	12
32	12	16	07	14	27
22	29	10	03	08	15
12	14	02	04	25	19
27	14	24	25	32	10
29	33	15	02	32	24
12	20	14	27	29	05
31	16	28	18	20	13
20	31	11	14	18	33
08	22	10	17	25	33
10	14	26	28	23	01
09	14	30	17	24	20
18	22	20	16	13	06
25	11	18	07	15	09
11	15	27	08	29	22
18	32	11	19	21	29
32	05	06	31	23	08
08	01	03	31	11	29
09	21	33	10	22	20
14	09	27	26	13	22
23	30	08	09	16	24
17	28	16	30	32	21
08	07	19	24	15	20
07	32	15	04	28	01
20	15	19	13	21	32
22	13	17	20	19	25
28	25	03	08	19	27
28	30	29	20	06	31
13	18	25	01	10	27
08	01	24	16	19	02
27	31	28	14	22	23
05	28	12	02	29	23
14	18	01	26	32	12
14	19	27	05	31	02
24	03	02	20	22	13
03	28	11	05	30	33
10	22	13	26	19	12
15	17	06	22	14	16
05	08	16	27	11	18
08	11	22	01	28	03
22	07	19	27	33	10
23	10	29	15	20	11
27	30	13	33	22	05
03	27	02	05	18	12
22	05	28	09	12	08
22	05	16	25	11	07
03	21	20	01	29	28
21	24	29	16	27	26
31	23	18	02	10	08
21	01	23	31	11	04
11	04	26	12	32	18
23	15	04	26	06	28
07	01	32	24	14	08
13	21	26	04	07	09
27	07	05	19	01	08
03	27	10	19	20	01
20	16	14	30	08	18
16	05	22	07	23	17
33	16	09	01	32	08
02	24	12	27	22	19
07	18	21	25	16	14
31	32	03	04	01	23
10	09	26	19	16	20
23	21	09	18	26	25
30	32	08	06	13	26
07	14	12	23	09	21
22	16	29	28	24	08
19	21	03	11	17	02
07	14	22	11	06	10
26	09	13	27	33	06
14	27	20	12	09	26
31	23	24	16	17	06
30	28	31	04	15	21
16	06	17	04	13	01
31	01	25	21	13	03
27	26	09	19	21	15
17	22	07	05	19	31
12	33	22	10	25	14
28	14	29	19	12	27
02	12	29	31	20	24
20	15	09	28	19	16
06	05	18	16	08	22
25	08	02	28	27	29
29	28	15	20	22	18
18	07	06	32	16	29
14	09	02	28	30	08
31	28	13	22	20	26
30	14	25	17	27	28
15	09	32	14	20	26
22	07	26	29	03	20
27	06	13	08	10	01
01	09	27	10	19	23
06	19	32	13	21	11
21	29	04	26	25	07
02	27	26	01	22	17
01	31	05	20	03	21
28	29	08	18	20	31
29	07	19	21	13	01
23	17	18	30	13	01
27	15	06	21	26	18
05	24	25	31	02	08
17	08	11	28	05	24
29	26	08	14	10	19
14	27	23	12	11	17
07	09	16	32	22	01
18	26	14	15	09	21
18	26	06	32	22	33
18	01	27	31	32	03
25	06	16	02	32	09
10	18	02	20	09	19
25	24	32	20	09	26
01	08	18	20	16	07
19	10	18	01	28	15
22	01	10	26	07	02
32	07	17	03	33	22
25	04	16	26	11	02
32	04	24	26	10	28
17	12	16	03	09	31
23	17	07	20	12	14
27	22	16	13	17	25
20	24	26	27	02	03
31	23	05	10	14	07
30	31	22	01	13	05
14	04	03	16	13	02
26	11	24	27	12	15
23	10	21	09	19	32
25	11	09	17	04	21
27	30	16	18	32	13
26	30	13	29	01	15
33	11	05	06	12	14
31	05	28	07	18	12
33	04	17	06	16	26
09	01	08	24	22	33
27	13	18	12	20	17
31	06	32	21	29	03
16	29	18	14	32	11
22	26	01	05	07	32
08	11	14	15	26	16
14	15	07	28	21	19
04	28	26	27	07	10
07	29	26	16	09	05
33	17	13	02	22	21
11	32	15	27	12	10
09	23	11	24	18	16
09	08	13	29	10	30
10	16	07	04	23	25
14	27	28	17	16	15
04	07	01	23	19	22
26	19	06	11	02	25
12	28	09	06	14	29
20	18	13	27	33	25
10	06	17	15	02	31
